Study Hours per Week,Attendance Rate,Previous Grades,Passed
3.4,99.2,66.1,Yes
,67.6,62.9,Yes
11.6,,50.3,No
15.9,35.4,76.7,Yes
14,114.4,51.5,No
8.6,37.8,76.5,No
4.1,73.3,51.9,Yes
12.2,24,71.5,Yes
15.6,58.5,62.1,No
13.8,109.7,76.8,Yes
15.4,97.9,45.5,Yes
8.9,94.7,71.9,Yes
7.7,71.1,50.3,No
6.3,108,55.3,No
9.7,80.1,73.7,No
,88.8,65.7,No
11,127.9,70.6,No
9.4,96.8,76.3,No
9.3,73.7,67.5,No
6.1,85.2,62.9,No
14.7,103.1,50,Yes
,87.4,97.9,No
9.1,90.7,73.2,No
6.3,100.8,65,nan
3.3,125.6,60.2,Yes
16.5,56.3,68.1,No
12.8,89,64.9,No
1.9,84.2,,Yes
13.8,67.3,56.4,Yes
14.6,62.1,90.2,No
10.6,108,75.3,No
18,54.6,37.9,Yes
11.1,46.8,69.3,No
2.9,63.7,77.1,No
11.8,39.4,45.2,No
11.2,58.1,,No
7,53.9,74.5,No
12.9,76.7,45.4,Yes
1.7,103.9,62.4,No
15,63.2,47.9,No
5.6,92.3,77.6,No
5.1,90,49.7,Yes
9.4,30.6,51,No
12.2,64,66.2,No
10.8,67.5,96.1,No
6.3,82.6,83.3,No
7.5,86.4,50.2,No
4.3,81.6,46.6,Yes
,57.1,56.1,Yes
15.4,62.3,44,No
10,44.9,76.8,No
14.3,76.3,74.9,Yes
17.3,67.7,78.7,Yes
7.1,85.7,65.7,Yes
9.1,88.9,66.8,Yes
20.9,68.3,49,No
17.2,80.6,69.1,Yes
1.6,70.7,84,No
,52.7,58.5,Yes
10,59,71.1,nan
14.1,29.6,66,No
6.3,67.1,57,Yes
5.8,63.1,72.7,No
6.6,53.1,92.3,Yes
7.1,91.4,85.6,Yes
14.1,85.5,52.4,Yes
4.1,86.1,66.8,Yes
6.9,88.8,76,No
1.1,75,66.2,Yes
15,74.8,45.7,Yes
16.4,91.6,53.7,No
8.4,88.3,74.4,Yes
8.5,95.5,93.9,No
12.3,74.1,55.3,Yes
17.4,55.3,50.7,No
12,,,No
6.5,63.4,68.5,No
1.9,88.1,59.2,No
4.4,80.8,,Yes
10.4,76,62.9,nan
6.7,67.2,76.3,Yes
11,95,68.4,No
7.2,93.5,42,Yes
4.7,63.8,63.1,No
4.1,50.4,92.5,Yes
17.8,78.6,81.6,Yes
14.4,98.7,83.8,No
18.7,49.8,52.5,No
12.7,84.4,70.4,Yes
7.9,58.6,79.2,No
16.6,54.7,66.1,Yes
9.8,93.6,82.7,No
11.1,88,52.2,Yes
9.8,72,68.2,No
-4.7,90.8,56.1,nan
18,88.7,87.2,nan
12.5,45.3,64.2,Yes
,76.7,61.8,Yes
,103.3,48,Yes
10.8,84.5,77.4,No
7,22.7,71.6,No
13.1,53.6,64.7,Yes
3.5,94.9,74,No
10.9,63.9,81.1,nan
12.8,97.4,68,Yes
9,115.9,71.7,No
11.9,70.2,73.1,No
5,62.6,38.6,No
5.2,54.9,72.1,Yes
11.2,90.2,40.4,No
13.4,62.9,65.1,Yes
0.6,67,73.5,Yes
12.6,52.8,37.6,No
7.3,66.3,65.8,No
9,60.9,59.7,Yes
3.3,35.4,61.3,Yes
5.7,58.2,76.7,Yes
14.8,89.9,93.5,Yes
10.2,102,76,No
8.1,72.9,65.4,Yes
9.4,75.7,44.8,Yes
12.4,80.7,85.5,nan
12.2,114.3,62.6,No
9.6,54.8,39.7,Yes
15.5,49.8,47.7,No
14.9,74,46,Yes
12.1,82.9,48.3,Yes
10.3,74.3,80.2,Yes
13.3,47.7,68,Yes
11.6,92.7,73.1,Yes
15.3,72.2,23,No
14.5,86.1,76.5,No
4.9,106.1,74.4,No
4.6,45.7,38.1,Yes
6.5,40.6,46.3,Yes
14.9,86.3,82.1,Yes
2.1,34.3,56.1,Yes
,67,80.1,Yes
11.8,63.6,65.2,Yes
15.8,82.2,57.3,No
10.9,61.7,62.9,Yes
3.3,84.8,35.1,Yes
,53.7,70.7,Yes
,50.2,47,No
7.3,75.4,37.6,No
9.1,77.1,42.8,No
4.2,80.9,51.4,Yes
17.4,104.6,73.8,No
3.4,100.6,53,Yes
16.7,84,76.3,Yes
15.9,91.2,78.3,Yes
14.5,80.2,79.5,nan
6.5,98.6,92.6,Yes
11.7,82.3,,No
3.6,64,73.7,No
14.6,60,55.4,No
9.6,98,30.3,Yes
8,71.3,69.8,Yes
3.9,113.3,44.5,Yes
,,,Yes
4.8,100,47.5,No
,66.5,74.7,Yes
8,,79.5,Yes
9.2,49,67.4,Yes
13.3,38.2,48.4,No
19,104.6,60.8,No
16.6,,86.2,No
5.1,94.7,61,No
0.3,61.9,57.5,Yes
21.8,94.7,85.3,No
21.3,66.4,99.2,Yes
10.9,50.8,60.1,Yes
3.6,87.9,40.6,No
14.8,93.9,66.2,No
9.5,87.8,59.9,No
9.4,,87.2,Yes
14.5,40,45.8,nan
11.7,53.6,51.2,nan
4.1,61,,No
8.4,69.8,75.4,nan
13.3,97.6,49.1,No
,72.7,81.1,No
11.3,32.9,57.6,Yes
14.7,23.2,,Yes
8.2,61.1,,No
10.9,64.7,44.5,No
-6.9,82.1,45.6,Yes
7.8,46,,Yes
13.8,47.3,67.1,No
8,84.1,80.9,nan
7.7,101.7,58.8,No
4.8,35.7,74.1,Yes
15,59.6,52.9,No
12.7,97.2,90.7,No
14.1,93.7,61.2,No
1.4,56.5,52.3,No
9.2,98.2,45.9,Yes
8.6,75.9,47.8,No
8.6,88.2,45.9,nan
6.9,60.9,90.9,Yes
8.3,80.8,,Yes
14.2,51.7,60.6,Yes
0.4,64.1,114.4,Yes
18.9,69.1,87.9,No
12.4,77.8,46.2,Yes
9.8,123.1,85.2,Yes
,126.2,59.6,No
2.7,67.2,63.1,No
6.7,104.6,56.1,No
9.4,52.8,62.7,Yes
16.8,83,56,No
9.8,61.3,59.9,No
12.3,66,58.7,No
7.1,,72,No
12.4,67.3,72.5,Yes
18.4,62,67,No
15,55,87.2,No
9.6,59.6,81,No
13.4,46.6,84.8,No
12.9,79.5,53.8,nan
12.5,79.1,47.6,No
15.6,81.8,69.2,Yes
15.5,74.8,71.2,No
9.4,63.7,50,nan
13.2,61.9,70,Yes
8.1,78.2,,No
5.4,74,59.9,Yes
8.7,62.3,45.5,No
9.6,69.3,71.2,No
,105.8,76.9,No
14.3,114.4,33.7,Yes
-3.8,70.6,18.5,No
23.6,60.3,88.8,No
17.5,74.1,47.4,No
8.7,97.7,,No
10,74.1,49.2,Yes
11.5,82.1,82.5,No
,61.8,79.1,Yes
11,51.7,59.8,No
9.3,90.2,75.2,No
,78.9,69.2,No
10.9,88.1,69.6,No
3.4,40.8,74.4,nan
10.2,111.7,64.9,No
10.8,80,57.2,Yes
10.6,38.9,78.4,Yes
8.9,94.7,67.4,No
15.7,67.5,64.8,Yes
8.2,75.6,66.7,Yes
11.1,65.4,55.7,nan
16.5,73,45.2,Yes
9.6,74,55.5,No
11.1,41.6,68.3,No
9.5,92.3,63.7,nan
16.2,77.3,48.6,No
8.7,83.9,43.8,No
16.4,91.3,46.7,No
9.5,77.4,62.4,Yes
5.7,81.6,89,No
,45.6,46.9,Yes
8.5,58.4,75.7,Yes
13.1,76.7,44,Yes
-3.6,78.7,,Yes
10,83,54.7,Yes
7.7,103.1,,Yes
4.7,,75.5,Yes
,82.3,66.3,Yes
7.1,76.2,68.6,No
9.8,70,66.5,Yes
3.2,70.8,92.8,No
11.6,59.3,45.8,Yes
16.8,72.7,62.9,Yes
11.4,70.6,65.1,No
14,72,51.7,Yes
15.5,40.2,77,Yes
16.2,73,58.5,No
19.4,,77.2,No
7.5,73.8,66.3,No
6.4,53.1,59.5,No
13.9,76,90.8,Yes
13.5,69.1,37.5,No
13.9,62.5,74.3,No
,80.8,86,No
10.1,82.5,42.6,Yes
12.1,74,64.6,Yes
5.1,86.4,72.1,No
20.7,66.7,52,Yes
8.3,83,73.5,No
8.5,74.2,86.4,No
8.3,55,76,Yes
6.8,59,93.2,Yes
6.4,98.3,49.2,Yes
7.4,106.5,61.6,No
3.2,89.3,42.1,Yes
6.1,63.3,57.9,Yes
19.7,103.6,72.7,Yes
13.7,87.3,69,Yes
14.6,81.7,56.7,No
15.9,111.8,63.1,Yes
19.2,57.8,35.3,No
1.1,90.5,65.6,No
3.9,58.7,88.3,nan
6,62.9,41.8,No
7.7,127,64.6,Yes
8.5,85,85.5,No
7.8,112,49.7,Yes
11.1,85.9,62,Yes
10.2,83,82.5,Yes
6.4,62.5,104,No
-0.9,94.6,68.9,No
5,75.5,70.2,No
7.3,76.6,47.4,Yes
8.8,69.8,70.5,No
4.4,73,60.3,Yes
7.5,,70.1,Yes
,77.5,72.2,No
9.4,74,61.6,No
4.6,43.9,,No
5.8,85.8,73.2,nan
3.5,72.5,54.2,No
9.2,8.7,46.5,Yes
5.7,43.2,86.7,No
14.5,65.5,81.7,No
12,100.6,69.2,Yes
9.7,87.2,45.5,Yes
,61.3,60.5,No
11.9,71.2,72.8,No
13.5,97.1,51.1,Yes
10.7,62.7,93.3,No
18,53.3,46.9,No
12.3,92.6,47.3,Yes
14.6,97.3,68.4,Yes
10.7,62.9,83.9,Yes
13.4,84.8,27,Yes
6,74.2,52.3,Yes
7.7,63.2,24,No
11.7,98.4,84.6,No
11.7,61.7,52.4,Yes
12.5,90.1,90,Yes
,76.4,39.3,No
2.9,71.6,49,Yes
5.1,63.9,59.5,Yes
11.1,55.3,,Yes
6.4,70,65.8,No
26.9,64.8,55.2,No
12.6,76.9,200,Yes
9.6,51.1,60.8,Yes
7.4,,62,Yes
7.6,83.1,57.6,No
10.2,61.5,85,Yes
10.6,89.8,61,No
7.7,92,86.7,No
8.6,50.9,72.6,Yes
16.7,59.8,73.3,No
16.9,48.2,77.8,No
11.3,83.5,70.5,Yes
3.3,77.6,59.1,Yes
12.7,43,72.2,Yes
17.8,62,78,No
16.8,81.2,72.7,No
13.7,77.3,42.8,Yes
17.1,99.2,77.1,No
10.3,52,76.1,No
13.1,74.8,77.7,Yes
6.6,55,60.3,Yes
11.5,77.2,53.9,nan
16.6,71.4,64.4,No
7.1,80.4,79.1,Yes
5.7,66.8,43.3,No
10.5,90.2,65.5,Yes
8.9,60.7,35.1,No
13.2,54.7,43.8,No
7.7,79.5,81.3,No
18.6,112.1,69,Yes
3.6,44.6,48.2,Yes
16.3,52.1,74.6,Yes
6.2,79.6,55.8,Yes
1,97.5,71.3,Yes
11.2,81.1,,Yes
8.7,62.8,75.1,nan
4.5,83.4,,nan
1.6,85.3,62,No
10,61.4,61.6,No
14.9,91.5,85.2,nan
12.9,74.3,51.8,Yes
10.3,40,72.7,Yes
12.4,72.3,55.1,No
9.9,63.6,65.8,No
,101.1,91.6,Yes
2.9,48.4,,Yes
9,65.3,43.5,Yes
9.2,80.1,86.2,No
14.3,123.4,68.6,Yes
13.8,114.1,,Yes
,74.1,63.1,No
8.6,,62,No
3.1,87,60.8,No
12.1,54.8,85.3,No
12.6,75.2,,No
-1.9,102.1,61.7,No
5.8,77.8,48.9,Yes
6.5,,61.9,No
10.6,66.1,55.2,Yes
6,73.2,69.7,Yes
9.8,73.4,62.8,Yes
8.9,49,73.8,Yes
9.2,97.1,85.1,Yes
6.4,68.3,47.4,No
6.8,80.2,67.2,No
4.6,63,41.2,No
11.9,109.5,65.8,Yes
12.9,99.7,73.3,Yes
6.1,76.2,60.1,No
17.6,50.5,70.9,Yes
8.4,89.9,69.8,Yes
17.7,96.7,73.7,No
6.8,56.5,47,No
-0.1,72.1,81.3,No
12,76.5,60.2,Yes
,96.7,40.2,No
10.2,72,51.2,Yes
6.8,94.2,46.1,No
9.8,59.5,57,No
7.4,53.9,52.1,No
8.5,,42,No
14.2,48.8,39.9,Yes
10.9,60,64.6,Yes
13,90.7,86.3,Yes
8.8,64.4,67,Yes
8.3,63.9,56.1,No
4.2,71,49.1,No
8.1,31.9,45.8,No
-6.6,97.4,61.1,Yes
7,78.5,62,Yes
9.6,58.8,73.3,Yes
12.8,40.7,59.6,No
8.7,47.7,85.8,Yes
11.7,43.1,45.6,Yes
-0.9,79.5,48.1,Yes
9.7,79.7,71.2,Yes
1.6,87.2,57.7,No
4,89.7,56.6,Yes
9.1,87.6,53.3,nan
16.4,105.8,44.2,nan
11.9,98.9,33.5,No
10.1,94.2,54.9,No
9.9,79.7,48,Yes
6.4,89.4,69.4,Yes
7.3,66.8,64.2,No
12.1,70.6,55.3,nan
3.1,109.4,57.3,No
13,63.9,81.4,Yes
8.1,62.4,52.7,No
14.1,67.8,79.1,No
14.8,64,,No
1.6,65.7,69.4,Yes
7.1,79.8,59.3,Yes
5.7,80.5,62,No
0.9,93.2,76.5,No
4.8,118.8,,Yes
22.2,67.6,100.9,No
13,73.7,53.2,nan
19.6,38.2,75.5,Yes
14.1,49.2,200,No
6.3,72.1,40.4,Yes
8.1,84.3,,No
12.9,84.8,60.4,Yes
12.2,87.3,60.2,nan
7.1,100.1,80,nan
2.5,109.1,,nan
26.4,70.1,86.6,Yes
,59,46.1,No
8.4,88.1,47.5,No
10.6,,60.4,No
8.8,77.7,55.6,Yes
10.6,71.4,52.6,Yes
16.4,64.9,30.5,Yes
9.4,74.2,80.6,Yes
4.2,88.8,70.5,Yes
9.2,61.6,72.7,No
7.7,59,53.4,Yes
17.1,87,,Yes
15.9,58,97.6,No
10.5,78,73.7,Yes
3.6,77,65.1,Yes
3.9,75,66.5,Yes
10.1,62.1,83.5,Yes
11.7,109.7,47.8,nan
8.1,83,63.3,Yes
7.6,64.7,65.5,Yes
7,81.6,70.6,Yes
9.9,,54,Yes
-1.9,76.8,35.1,No
4.5,105.7,65.9,Yes
6.9,52,100.5,Yes
16,58,71.4,Yes
5.9,32.2,47.5,Yes
10.9,114.5,57.6,Yes
11.1,41,61,No
16.5,,88.7,Yes
16.3,109.8,63,No
9.7,94.4,81.5,No
7.6,82.5,68,No
6.7,100.7,66.2,No
8.8,61.6,50,No
7.8,85.4,76.9,Yes
12.8,,56.9,Yes
12.1,72.3,81.9,nan
13,78.8,65.4,Yes
16.3,98.5,63.6,No
19.3,106.3,53.9,Yes
10.6,69.7,58,Yes
15.5,,58.1,No
8.2,58.6,65.7,Yes
15.9,114,88.8,No
,104.6,43.4,No
15,53.2,67,No
10.5,108.2,91.6,No
6.7,60.8,47.3,No
3,88.3,58.8,Yes
9.8,60.8,77.9,No
17.7,118.3,46.9,Yes
8.5,63.6,,Yes
13.9,54,83.9,Yes
14.2,65.9,69,No
8.6,127.5,20.7,No
16.6,80.2,57.8,No
-4.5,54.4,79.9,No
3.9,59.2,59.5,Yes
5.4,40,65.1,Yes
5.9,85.8,95.4,Yes
11.7,50,69.8,No
11.5,97.1,68.5,No
12,90.8,59.3,Yes
13,73,88.6,No
5.2,99.7,80.4,Yes
3.9,93.5,57.9,No
-1,78.1,54.2,Yes
6.8,59.6,52.8,Yes
2.1,83.3,58.1,No
14.9,83.2,53.4,No
17,84.8,66.8,Yes
17.8,76.6,77.7,Yes
10.9,81.5,53.1,No
13.1,81,54.4,No
16.8,102.2,55.9,No
6.8,49.5,69.9,No
15.6,55,49.9,No
11.4,76.5,42.7,No
14.6,59.8,61.3,Yes
10.9,79.2,66.1,Yes
16.5,52.7,63,Yes
11.1,55.9,63.4,Yes
,116.2,,Yes
17.3,70.4,82.6,Yes
5.3,,64.1,No
16.3,72.7,,No
9.5,95.7,92.6,No
15.9,99.1,61.2,Yes
15.7,45.8,58.7,Yes
12.2,59.7,44.8,Yes
12.5,79.5,75.2,No
12.1,74.3,43.4,No
-0.1,,55.5,No
,46.2,49.8,No
4.4,53.6,45.8,No
10.9,39.6,87.7,No
4.3,65.8,67,No
4.1,98.9,41.1,Yes
18,61.7,69.7,No
15.3,96.6,80.1,No
10,75.6,72.1,Yes
10.9,71.3,82,Yes
8.8,41.7,73.4,No
12.8,98.4,76.8,No
6.6,77.3,63.6,No
15,43,87.6,Yes
8.7,82.6,77.2,No
7.9,63.2,69.2,No
10.1,76.2,,Yes
7,79.8,80.8,No
11.6,99.3,82.9,Yes
7.3,52.5,97.2,Yes
12.3,86.4,64.2,Yes
16.1,101.6,71.1,No
6.4,125.4,70.8,nan
9.3,96,35.8,Yes
12.3,82.2,77.9,Yes
7.8,80.5,72.2,Yes
12.3,106,58.4,Yes
12.8,69.3,52.8,Yes
15.4,90.9,47.9,No
7,118.9,74.6,Yes
5.3,72.8,54.8,No
8.5,34.7,72.8,nan
5.2,57.8,63.9,Yes
12.8,80.9,69.3,No
4.2,58.3,84.8,Yes
21.7,68.1,,Yes
16.5,69.1,71.6,Yes
10.1,86.2,57,No
14.3,56.1,72.6,No
1.8,63.3,64.6,Yes
22.6,103.1,45.5,No
7,,62.7,Yes
9.4,89.5,83.3,No
0.7,75.3,51.7,No
12.4,74.5,70.3,No
4.5,89.8,63.5,Yes
10.5,37.8,65.3,Yes
7.3,83.9,62,No
4.6,86.1,69.2,Yes
6,92,49.8,No
11.1,67.5,73.4,No
3.6,75,58.4,Yes
6.3,25.9,67.7,No
13.3,61.6,68.6,Yes
23,78.5,68.9,No
12.4,104.4,61.6,Yes
5.4,111.9,46.2,No
8.2,68.2,56.8,No
10.2,92.5,59.7,No
8.3,72.1,39.1,No
14.5,42.7,57,No
11.1,,81.6,nan
14.5,111.6,49.5,Yes
8.4,67.4,76.4,No
16.6,56.9,56.8,No
9.2,76.3,56.2,No
5.1,72.5,62.1,Yes
20.9,127.2,69.7,Yes
0.9,95.1,58.5,No
6.3,77.6,57.1,Yes
6.9,17.1,85.7,No
22.5,72.1,66.9,Yes
19,112,44,Yes
17.5,76.6,33.4,Yes
8.3,91.4,86.7,Yes
22.1,82.8,78.9,No
11.8,65.3,67.7,nan
14.9,108.8,67.2,No
10.9,78.8,64.8,Yes
9.8,,66.5,No
8.7,75.4,,No
9,,80.7,No
13,45.4,79.2,No
11.8,80.4,68,No
9.8,76.5,68.2,Yes
17.5,44.2,77.6,Yes
-4.8,90.3,73.8,No
12.5,80.1,63.7,Yes
13.6,92.6,22.9,No
15.7,97.8,75.4,Yes
9.7,73.9,81.7,No
11,63.9,61.1,No
14.9,46.5,48.3,Yes
17.5,62.1,79,No
8.5,75.2,79.3,Yes
,55.7,52.2,Yes
,86.7,72.1,Yes
-0.6,56.9,58.2,Yes
,39.7,70.2,No
17.3,63.4,85.9,Yes
15.5,78.7,72.1,No
12.6,49.8,55.6,No
7.8,57.2,,nan
5.6,62.4,94.7,No
7,65,84.2,Yes
17.7,81,58.5,No
6.9,,63.4,Yes
10.5,65.5,59.9,No
6.2,54.2,67.8,No
14.2,77.7,76.9,No
7.3,85.4,72.8,No
9.5,107.3,75.5,No
1.6,97.9,54.4,No
1.9,49.8,66.8,No
,72.2,77.7,No
3.4,84.1,87.8,Yes
20.5,58,32.8,Yes
-0.3,68,72,No
6,88.5,83.3,No
10.1,80,34.9,No
8.2,75,85.5,Yes
4.5,61.9,98.1,No
5.2,46.1,67.8,Yes
5,68.8,73.1,nan
8.6,73.2,50.5,No
19.8,45.6,95.7,Yes
10.4,76,69.2,Yes
15.9,82.8,26.6,No
12.5,61.2,79.5,No
15.6,83.1,51.4,No
-4,80.5,57.4,Yes
,,69.3,No
16.5,66.7,65.4,Yes
7.1,68.4,70,No
18.8,57.9,71.7,No
,81.9,85.2,No
7.7,58.1,,Yes
7.5,59.4,73,Yes
4.9,84.9,67.5,No
6.9,70.2,61.6,No
3.8,76.2,46.1,Yes
12.1,40.8,70.9,Yes
2.7,64.5,50.7,Yes
13,108.6,39.7,Yes
13.1,150,62.1,No
1.7,110,,No
17.7,80.2,54.2,No
12.6,64.3,37.2,No
13.7,70.9,64.6,No
6.2,99.6,83,Yes
13.1,29.5,54.2,No
15.6,103.3,44.5,Yes
9.5,80.3,41,No
20,95.2,54.3,Yes
10.2,40,65.4,No
15.7,70.5,57.9,No
11.5,28.4,68.8,Yes
12.9,99,66.6,No
1.6,55.3,80,No
11.9,55.1,62.9,No
6.3,36.3,74.3,No
5.8,83.9,65.6,Yes
18.7,76.4,67.7,Yes
8.9,60,67.6,No
5,,49.6,Yes
8.2,59.4,63.7,No
3.5,39.8,55.5,Yes
,67.7,52.5,No
6.5,107.9,70.9,Yes
12.6,94.4,72.4,Yes
16.8,84.1,55.5,Yes
7.5,79.9,75.5,No
12.7,67.7,58.3,No
4.8,89.7,78.4,Yes
22.2,86.3,97.8,No
14.7,73.3,72.2,Yes
9,79,63.4,Yes
6.1,42.9,54.7,No
9.4,65.4,68,No
8.3,51.1,50.3,No
19.8,50.8,61.4,No
3.9,84.4,51.6,No
10.7,49.7,77.6,No
9.9,90.4,57,No
9.4,95.6,64.5,Yes
9.5,73.8,39.2,Yes
9.4,62.9,59.9,No
14.4,95.6,59.5,No
,86,51.2,Yes
12.1,98.9,60.6,Yes
-5.2,53.4,27.7,No
,69.8,47.7,Yes
1.7,70.6,39.9,Yes
13.2,79.2,76.4,No
,87.5,64.6,Yes
5.4,77.8,26.4,Yes
8.7,101.7,79.9,Yes
7,67.5,71.4,No
16.2,54,63.4,No
10.5,61.7,70.1,Yes
18.6,59.2,63.1,Yes
12.1,65.9,59.7,No
11.2,,66.2,Yes
10.3,70.5,65.9,No
14.1,79.6,52.8,Yes
1.3,65.8,,Yes
,96,53.1,nan
9.6,36.2,60.5,No
13.6,30.5,77.7,Yes
9.1,95,81.3,nan
4.8,93.5,79.2,Yes
10,,39.6,No
4.6,87.7,62.2,No
0.4,75.1,47.6,No
13.6,69.8,49.3,Yes
12.9,43,55.4,Yes
12.3,78,60.7,Yes
16.5,46.3,56.7,Yes
6.7,124.3,25.4,Yes
2.8,54.4,68.8,Yes
9.6,73.5,63.6,Yes
8.3,,83.5,Yes
5.8,67.7,63.7,No
,67.8,36.7,No
6.9,23.3,44.6,No
0.8,48.8,,No
7.8,86.2,61,Yes
4.3,,88.8,Yes
11.2,57.2,72.5,No
6.7,78.9,67.1,No
15.6,129.2,48.5,No
18,86.3,71.4,Yes
13.4,94.5,60.6,Yes
2.2,59.7,69,No
17.5,,72.7,Yes
17.9,61.2,58,No
10.1,57.6,69.2,No
16.6,104.6,92.7,Yes
7.2,62.3,83.9,Yes
0.7,74.9,78.6,Yes
6.2,107.5,100.7,Yes
18.6,56.7,94.4,No
2.5,70.3,87.8,Yes
10,62.8,49.4,No
10.2,68.4,47.2,No
7.4,75.8,46,No
7.8,101.8,77.8,Yes
10.4,107.8,76.3,No
7.2,78.1,71.8,Yes
2.9,60.5,49.1,Yes
11.1,88.6,79.5,No
15.4,75.1,60.6,No
14.3,75.8,61.8,Yes
6,54.4,75.7,nan
3.7,42.7,62.5,Yes
8.6,74.6,,Yes
17.8,,43.7,No
13.2,64.4,42.3,No
13.5,104.7,80.4,Yes
14.4,73.6,69.8,Yes
,97.1,51.2,Yes
10.6,80.9,,No
13.3,86.7,65.4,No
7.3,64,46.7,No
2.9,98.1,63.4,No
13.6,81.2,69.1,Yes
16.2,69.7,39.7,No
4.4,81.2,78.3,No
14.1,60.7,68.1,Yes
,69.1,90.5,No
10,73.9,84.1,Yes
5.9,64.5,89.2,No
10.6,,54.4,nan
7.2,66.7,73.9,No
6.9,116.7,66.1,Yes
12.2,76.3,88.2,Yes
2,70.3,85.5,Yes
2.8,64.9,90.3,No
10.1,83.4,61.4,nan
9.9,92.9,46.6,No
11.7,,51.5,Yes
19.4,75.1,71.3,No
10.5,35.2,46.7,No
13,94.6,68.2,No
,95,62,No
13.8,75.8,30.8,No
7.4,79.2,68.9,Yes
10.4,46.4,75.2,Yes
9.5,64.1,83.1,Yes
15.2,62.8,56.8,No
3.5,66,49.2,Yes
-1.4,92.4,59.2,Yes
8.9,100.6,46.9,Yes
12.3,87.2,73.2,Yes
10.8,68.5,66.7,No
16.2,60.1,47,Yes
12.2,76.8,58.7,Yes
7.2,80.9,88.4,Yes
-1.6,70.6,64.1,nan
8.8,61.8,54.1,No
15.1,87.3,57.1,Yes
,89.3,67.6,No
,48.8,92.3,No
,67.3,49.2,No
4.9,,86.4,Yes
13.1,94.8,60.4,No
18.2,76.3,84.3,Yes
9.1,82.3,47.7,No
4.4,80.1,88.3,No
9.7,94.1,91.7,No
-1.1,52.8,93,No
11.7,80.4,64.9,No
12.3,57.2,65,No
18.4,96.8,53.9,No
9,53.8,50.4,Yes
,83.2,,No
5.7,,65.2,No
8.2,90,72.2,No
2.4,83.8,,No
9,79.8,45.6,Yes
8.5,114.2,46.7,Yes
11.5,60.9,76.8,Yes
6.9,93.5,71.5,No
10.4,98.4,63.2,No
8.3,93.5,71,No
8.3,61.5,86.7,Yes
10.4,70.3,78.9,Yes
10.2,62.9,68.9,Yes
13.8,69.1,71.7,No
9.4,58.2,87.1,Yes
8.3,67.7,58.8,No
9.1,104.4,68.5,Yes
6.4,68.6,64.6,No
8.2,77.1,55.5,No
20.2,60.5,62,Yes
5.4,74.7,49.7,Yes
8.6,91.5,80.9,Yes
8.1,84.8,58.5,Yes
8.8,103.4,68.2,Yes
8.3,50.8,80.7,Yes
11.4,59.9,85.7,Yes
1.4,66.7,65.9,Yes
15.2,105.5,63.6,nan
13.2,81,75.6,Yes
3.8,46.7,71.2,Yes
-1.3,96.8,47.8,No
5.1,,89.7,No
8.8,92.8,68.6,Yes
22.9,106.7,77.3,Yes
12.7,55.4,70.3,Yes
,106.7,,Yes
6.6,73.5,62.5,Yes
9.7,66.7,75.5,Yes
11.3,,75.2,No
,51.1,,No
9.3,74.6,44.5,No
6.4,70.1,46.7,Yes
4.5,56.2,66.8,Yes
11.3,62.1,59,nan
13.9,97.8,83.6,No
14.2,71.4,51.9,No
12.9,55.4,78.4,Yes
,84,40,Yes
13.6,90.3,42.2,No
11.5,75,64.7,No
10.7,50.3,70.3,Yes
6.9,24.1,74.7,Yes
7.5,57,79.6,No
10.4,96.1,69.8,No
22.2,94.3,,Yes
11.5,59.1,53.1,Yes
6.9,70.3,38.4,No
5.8,150,75.3,Yes
7.5,72.2,51.8,No
20.9,93.7,67.2,Yes
8,73.1,78,Yes
14.5,84.6,110.2,Yes
8.1,68.5,63.9,Yes
11.3,59.3,48.3,No
14,98.3,67.3,No
7.1,45,37.7,Yes
6.8,63,62.5,No
18.3,73.1,,Yes
14.9,92.2,,Yes
14,57.4,83.1,No
13.9,77.5,75.7,Yes
12.3,,54.6,No
20.1,83.8,85.2,No
10.2,111.5,84.2,No
12.9,35.8,52.3,No
2.7,60.5,40.3,Yes
5.9,91.7,31.9,Yes
4,133.9,74.2,No
16.4,86.8,80.3,Yes
-2.8,60.4,58.9,Yes
8,72,64.7,No
-5,50.5,73.2,Yes
5.8,91.1,69.6,No
7.5,95.9,70.6,No
16.9,103.1,96.7,nan
12,68.4,62.6,No
5.8,58.8,67.8,Yes
15.3,104.9,56.5,Yes
10.1,102.6,81.5,Yes
10.2,,87.9,Yes
4,67.5,68.6,Yes
5,90.8,70.8,No
5.9,70,85.7,No
10.2,75.6,,No
10.4,45.6,69.7,nan
17.7,52.6,40.8,No
11.9,73.2,67,Yes
-3.5,61,61.9,Yes
11.3,52,83,Yes
2.7,68.7,62.4,Yes
5.2,57.4,60.3,No
5.9,75.6,89.1,nan
6.7,94.8,62,No
3.1,69,74.6,Yes
11,66.5,86.3,No
2.9,96.5,56.3,No
11.8,89.7,78,Yes
,91,53.9,Yes
3.4,24.6,74.8,Yes
8.6,66,78,No
-2.6,63.6,56.8,Yes
8.5,58.5,31,No
13.2,96.1,49.1,No
13.6,64.1,67.3,Yes
,47.2,49,No
14.4,79.9,58.8,No
22.7,74.8,72.7,No
18.6,56.6,60.7,Yes
7.4,95.4,66.2,No
2.7,85.6,55,Yes
8,85.6,93.2,Yes
5.3,84.7,54.2,Yes
12.3,96.8,64.3,No
